Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,Serious/Critical,TotCases/1M pop,Deaths/1M pop,Total Tests,Population,Tests/1M pop
Rwanda,132811,,1467,,131112,,232,,9765,108,5882479,13600464,432520
S. Korea,27548821,65253,30908,61,26527918,45957,989995,435,536701,602,15804065,51329899,307892
Saint Helena,1806,,,,2,,1804,,295339,,,6115,
Saint Kitts and Nevis,6552,,46,,6482,,24,,121624,854,124861,53871,2317778
Saint Lucia,29550,,404,,29095,,51,,159632,2182,210983,185113,1139752
Saint Martin,12058,,63,,1399,,10596,7,303499,1586,112382,39730,2828643
Saint Pierre Miquelon,3282,,1,,2449,,832,1,569891,174,25242,5759,4383053
Samoa,15967,,29,,1605,,14333,4,78951,143,187397,202239,926612
San Marino,22406,,119,,22031,,256,4,657357,3491,157634,34085,4624732
Sao Tome and Principe,6279,,77,,6201,,1,,27578,338,29036,227679,127530
Saudi Arabia,826064,55,9480,3,813498,50,3086,34,23046,264,44850651,35844909,1251242
Senegal,88887,,1968,,86887,,32,,5035,111,1146543,17653671,64946
Serbia,2427599,,17420,,2399850,,10329,23,280549,2013,11682316,8653016,1350086
Seychelles,50068,,171,,49606,,291,,503570,1720,,99426,
Sierra Leone,7760,,126,,,,,,934,15,259958,8306436,31296
Singapore,2176338,,1707,,2100803,,73828,5,366168,287,24622510,5943546,4142731
Sint Maarten,10964,,89,,10873,,2,,249375,2024,62056,43966,1411454
Slovakia,1856853,154,20750,3,1834602,143,1501,23,340071,3800,7360158,5460193,1347967
Slovenia,1271249,2149,6946,1,1244963,1138,19340,18,611756,3343,2790385,2078034,1342800
Solomon Islands,24575,,153,,,,,1,34077,212,,721159,
Somalia,27286,,1361,,13182,,12743,,1620,81,400466,16841795,23778
South Africa,4044422,879,102464,,3912506,,29452,192,66568,1686,26473049,60756135,435726
South Sudan,18352,,138,,18115,,99,1,1580,12,410280,11618511,35313
Spain,13614807,,116108,,13403322,,95377,339,291418,2485,471036328,46719142,10082298
Sri Lanka,671742,20,16807,1,654895,,40,,31134,779,6486117,21575842,300619
St. Barth,5348,,6,,,,,,537758,603,78646,9945,7908095
St. Vincent Grenadines,7112,,115,,6641,,356,,63756,1031,100856,111551,904125
Sudan,63655,,4991,,58083,,581,,1384,109,562941,45992020,12240
Suriname,81581,,1393,,,,,,136690,2334,239603,596831,401459
Sweden,2640369,,21202,,2597385,1341,21782,33,258379,2075,19180453,10218971,1876946
Switzerland,4335513,,14343,,4238840,,82330,66,494152,1635,23068899,8773637,2629343
Syria,57410,,3163,,54241,,6,,2965,163,146269,19364809,7553
